,NAME,ID,N_SWINGS,N_TAKES,N_P,GOOD_SWINGS,G%S,GS%,GS_RV,BAD_SWINGS,B%S,BS%,BS_RV,SRV,GOOD_TAKES,G%T,GT%,GT_RV,BAD_TAKES,B%T,BT%,BT_RV,TRV,EXP_RV,TOT_RV,SWTR,SWTR_Per650,Total_Percentile,Rate_Percentile
0,"Olson, Matt",621566,1448,1644,3092,909,62.8,29.4,-36.5,539,37.2,17.4,-45.4,-81.9,1272,77.4,41.1,43.2,372,22.6,12.0,-21.2,22.0,-58.5,-59.9,-1.4,-1.2,72,84
1,"Schwarber, Kyle",656941,1152,1912,3064,776,67.4,25.3,-23.8,376,32.6,12.3,-30.9,-54.7,1212,63.4,39.6,36.7,700,36.6,22.8,-43.4,-6.7,-44.7,-61.4,-16.8,-13.9,5,40
2,"Lowe, Nathaniel",663993,1333,1711,3044,684,51.3,22.5,-34.8,649,48.7,21.3,-57.8,-92.6,1247,72.9,41.0,36.0,464,27.1,15.2,-26.6,9.4,-73.8,-83.2,-9.5,-7.9,24,66
3,"Rutschman, Adley",668939,1192,1712,2904,757,63.5,26.1,-28.1,435,36.5,15.0,-37.1,-65.3,1075,62.8,37.0,34.5,637,37.2,21.9,-33.1,1.5,-47.5,-63.8,-16.3,-14.3,6,38
4,"Suárez, Eugenio",553993,1293,1610,2903,782,60.5,26.9,-41.3,511,39.5,17.6,-41.2,-82.5,1196,74.3,41.2,36.6,414,25.7,14.3,-24.2,12.3,-70.1,-70.2,-0.1,-0.1,86,86
5,"Soto, Juan",665742,1034,1859,2893,847,81.9,29.3,-13.2,187,18.1,6.5,-12.5,-25.7,1121,60.3,38.7,41.3,738,39.7,25.5,-43.5,-2.2,-15.6,-27.9,-12.3,-10.8,14,51
6,"Happ, Ian",664023,1269,1590,2859,748,58.9,26.2,-33.1,521,41.1,18.2,-42.6,-75.7,1180,74.2,41.3,32.8,410,25.8,14.3,-27.4,5.3,-70.9,-70.3,0.6,0.5,93,87
7,"Riley, Austin",663586,1377,1482,2859,914,66.4,32.0,-34.9,463,33.6,16.2,-39.3,-74.3,1027,69.3,35.9,38.5,455,30.7,15.9,-21.2,17.3,-54.3,-56.9,-2.6,-2.3,59,81
8,"Goldschmidt, Paul",502671,1252,1595,2847,782,62.5,27.5,-34.3,470,37.5,16.5,-33.9,-68.3,1097,68.8,38.5,31.8,498,31.2,17.5,-26.6,5.2,-48.0,-63.1,-15.0,-13.4,8,43
9,"Nimmo, Brandon",607043,1204,1641,2845,738,61.3,25.9,-34.2,466,38.7,16.4,-42.7,-76.9,1116,68.0,39.2,29.6,525,32.0,18.5,-31.9,-2.3,-77.8,-79.2,-1.5,-1.3,71,83
10,"Kwan, Steven",680757,1166,1672,2838,749,64.2,26.4,-41.2,417,35.8,14.7,-32.0,-73.2,1164,69.6,41.0,25.8,508,30.4,17.9,-28.1,-2.3,-71.6,-75.5,-3.9,-3.5,49,78
11,"Torkelson, Spencer",679529,1290,1500,2790,867,67.2,31.1,-35.5,423,32.8,15.2,-36.0,-71.6,1048,69.9,37.6,35.0,452,30.1,16.2,-23.6,11.4,-52.2,-60.2,-7.9,-7.2,28,68
12,"Semien, Marcus",543760,1319,1480,2799,839,63.6,30.0,-37.7,480,36.4,17.1,-34.9,-72.6,1113,75.2,39.8,30.5,367,24.8,13.1,-21.0,9.5,-57.0,-63.1,-6.1,-5.6,37,73
13,"Bregman, Alex",608324,1080,1709,2789,807,74.7,28.9,-29.5,273,25.3,9.8,-16.7,-46.2,1157,67.7,41.5,37.2,552,32.3,19.8,-29.3,7.9,-34.1,-38.3,-4.2,-3.8,48,77
14,"Acuña Jr., Ronald",660670,1286,1496,2782,1038,80.7,37.3,-2.1,248,19.3,8.9,-14.0,-16.1,999,66.8,35.9,42.3,497,33.2,17.9,-23.8,18.5,5.1,2.4,-2.7,-2.5,58,80
15,"Santander, Anthony",623993,1355,1409,2764,628,46.3,22.7,-37.5,727,53.7,26.3,-63.2,-100.7,1057,75.0,38.2,28.1,352,25.0,12.7,-20.1,8.0,-71.9,-92.7,-20.8,-19.1,2,21
16,"Freeman, Freddie",518692,1404,1349,2753,942,67.1,34.2,-27.2,462,32.9,16.8,-34.2,-61.4,958,71.0,34.8,32.6,391,29.0,14.2,-18.7,14.0,-36.5,-47.4,-11.0,-10.2,18,55
17,"McMahon, Ryan",641857,1296,1442,2738,695,53.6,25.4,-34.8,601,46.4,22.0,-55.6,-90.4,1070,74.2,39.1,28.2,372,25.8,13.6,-20.8,7.4,-85.6,-83.0,2.6,2.4,98,91
18,"Lindor, Francisco",596019,1316,1425,2741,795,60.4,29.0,-35.6,521,39.6,19.0,-44.9,-80.5,1062,74.5,38.7,29.5,363,25.5,13.2,-19.1,10.4,-55.8,-70.1,-14.3,-13.2,10,44
19,"Kim, Ha-Seong",673490,1053,1667,2720,616,58.5,22.6,-41.1,437,41.5,16.1,-38.2,-79.3,1144,68.6,42.1,23.7,523,31.4,19.2,-33.0,-9.4,-81.0,-88.7,-7.7,-7.2,30,68
20,"Betts, Mookie",605141,1033,1679,2712,825,79.9,30.4,-9.8,208,20.1,7.7,-13.8,-23.6,1042,62.1,38.4,35.9,637,37.9,23.5,-31.7,4.2,-12.1,-19.4,-7.3,-6.8,32,69
21,"Witt Jr., Bobby",677951,1363,1338,2701,845,62.0,31.3,-24.2,518,38.0,19.2,-40.6,-64.8,940,70.3,34.8,30.2,398,29.7,14.7,-19.4,10.7,-39.8,-54.1,-14.3,-13.4,10,43
22,"Steer, Spencer",668715,1176,1508,2684,721,61.3,26.9,-33.1,455,38.7,17.0,-40.5,-73.6,1057,70.1,39.4,27.4,451,29.9,16.8,-22.2,5.2,-60.8,-68.4,-7.6,-7.2,30,68
23,"Arozarena, Randy",668227,1153,1526,2679,724,62.8,27.0,-33.0,429,37.2,16.0,-33.0,-66.0,1049,68.7,39.2,33.7,477,31.3,17.8,-25.6,8.1,-43.3,-57.9,-14.6,-13.9,9,40
24,"Turner, Trea",607208,1421,1254,2675,849,59.7,31.7,-31.1,572,40.3,21.4,-45.1,-76.3,920,73.4,34.4,29.8,334,26.6,12.5,-16.3,13.5,-49.6,-62.7,-13.2,-12.5,12,47
25,"Hernández, Teoscar",606192,1434,1239,2673,894,62.3,33.4,-31.8,540,37.7,20.2,-44.5,-76.3,868,70.1,32.5,30.6,371,29.9,13.9,-19.8,10.8,-50.6,-65.5,-14.9,-14.2,8,39
26,"Walker, Christian",572233,1297,1374,2671,787,60.7,29.5,-33.6,510,39.3,19.1,-42.6,-76.2,1038,75.5,38.9,35.0,336,24.5,12.6,-17.4,17.5,-57.4,-58.7,-1.2,-1.2,74,84
27,"Turner, Justin",457759,1201,1469,2670,674,56.1,25.2,-38.9,527,43.9,19.7,-46.2,-85.1,1036,70.5,38.8,29.5,433,29.5,16.2,-23.9,5.6,-69.3,-79.5,-10.2,-9.7,21,57
28,"Stott, Bryson",681082,1185,1466,2651,699,59.0,26.4,-44.4,486,41.0,18.3,-39.6,-84.0,941,64.2,35.5,19.0,525,35.8,19.8,-29.5,-10.5,-81.2,-94.5,-13.3,-12.7,11,46
29,"Torres, Gleyber",650402,1238,1409,2647,835,67.4,31.5,-27.4,403,32.6,15.2,-28.1,-55.5,1023,72.6,38.6,32.1,386,27.4,14.6,-23.6,8.5,-41.9,-47.0,-5.2,-4.9,42,74
30,"Bogaerts, Xander",593428,1126,1518,2644,646,57.4,24.4,-28.5,480,42.6,18.2,-36.7,-65.2,994,65.5,37.6,24.1,524,34.5,19.8,-30.1,-5.9,-49.2,-71.1,-21.9,-21.1,1,17
31,"Crawford, J.P.",641487,1012,1614,2626,620,61.3,23.6,-28.6,392,38.7,14.9,-33.0,-61.6,1149,71.2,43.8,26.8,465,28.8,17.7,-28.7,-1.9,-58.5,-63.5,-4.9,-4.8,44,75
32,"Thomas, Lane",657041,1145,1482,2627,821,71.7,31.3,-22.6,324,28.3,12.3,-25.7,-48.3,925,62.4,35.2,30.8,557,37.6,21.2,-30.9,-0.2,-36.7,-48.5,-11.8,-11.4,16,50
33,"Ramírez, José",608070,1217,1393,2610,835,68.6,32.0,-21.5,382,31.4,14.6,-32.4,-54.0,947,68.0,36.3,31.3,446,32.0,17.1,-19.3,12.1,-22.2,-41.9,-19.7,-19.2,2,21
34,"Adames, Willy",642715,1298,1298,2596,751,57.9,28.9,-35.6,547,42.1,21.1,-46.3,-81.8,956,73.7,36.8,31.4,342,26.3,13.2,-18.4,13.0,-54.2,-68.9,-14.6,-14.3,9,38
35,"Devers, Rafael",646240,1353,1223,2576,862,63.7,33.5,-27.1,491,36.3,19.1,-37.4,-64.5,922,75.4,35.8,34.7,301,24.6,11.7,-15.8,18.8,-35.7,-45.7,-10.0,-9.8,22,56
36,"Tucker, Kyle",663656,1205,1362,2567,819,68.0,31.9,-24.4,386,32.0,15.0,-31.0,-55.4,986,72.4,38.4,30.1,376,27.6,14.6,-22.3,7.8,-48.0,-47.6,0.3,0.3,90,87
37,"Alonso, Pete",624413,1121,1446,2567,775,69.1,30.2,-16.9,346,30.9,13.5,-25.2,-42.2,943,65.2,36.7,31.8,503,34.8,19.6,-24.7,7.1,-22.9,-35.1,-12.2,-12.1,15,48
38,"Albies, Ozzie",645277,1400,1163,2563,799,57.1,31.2,-33.8,601,42.9,23.4,-48.5,-82.3,939,80.7,36.6,28.0,224,19.3,8.7,-11.7,16.3,-52.5,-66.1,-13.5,-13.4,11,43
39,"García, Adolis",666969,1245,1317,2562,706,56.7,27.6,-22.1,539,43.3,21.0,-45.5,-67.5,957,72.7,37.4,34.5,360,27.3,14.1,-20.3,14.2,-40.8,-53.3,-12.5,-12.4,13,47
40,"Yelich, Christian",592885,1151,1408,2559,794,69.0,31.0,-23.9,357,31.0,14.0,-29.2,-53.0,938,66.6,36.7,30.9,470,33.4,18.4,-23.5,7.3,-38.6,-45.7,-7.1,-7.1,33,68
41,"Swanson, Dansby",621020,1210,1348,2558,805,66.5,31.5,-32.7,405,33.5,15.8,-34.8,-67.5,1026,76.1,40.1,31.2,322,23.9,12.6,-17.6,13.6,-53.0,-53.9,-1.0,-1.0,76,85
42,"Meneses, Joey",608841,1210,1333,2543,711,58.8,28.0,-33.6,499,41.2,19.6,-41.1,-74.7,919,68.9,36.1,26.2,414,31.1,16.3,-20.4,5.8,-53.5,-68.9,-15.4,-15.4,7,34
43,"Hoerner, Nico",663538,1153,1380,2533,716,62.1,28.3,-36.8,437,37.9,17.3,-33.1,-69.9,899,65.1,35.5,22.2,481,34.9,19.0,-25.3,-3.1,-54.1,-73.0,-18.9,-19.0,3,22
44,"Springer, George",543807,1246,1282,2528,788,63.2,31.2,-28.8,458,36.8,18.1,-36.0,-64.8,966,75.4,38.2,26.7,316,24.6,12.5,-17.1,9.6,-51.6,-55.2,-3.6,-3.6,51,78
45,"Reynolds, Bryan",668804,1196,1327,2523,821,68.6,32.5,-16.5,375,31.4,14.9,-27.7,-44.2,978,73.7,38.8,23.7,349,26.3,13.8,-20.0,3.7,-31.8,-40.5,-8.7,-8.7,25,61
46,"Rodríguez, Julio",677594,1352,1158,2510,863,63.8,34.4,-17.7,489,36.2,19.5,-34.7,-52.5,794,68.6,31.6,30.1,364,31.4,14.5,-19.0,11.2,-26.0,-41.3,-15.3,-15.5,7,33
47,"Muncy, Max",571970,976,1509,2485,701,71.8,28.2,-21.8,275,28.2,11.1,-23.1,-44.9,919,60.9,37.0,32.0,590,39.1,23.7,-32.4,-0.4,-35.5,-45.3,-9.8,-10.1,23,55
48,"Marte, Ketel",606466,1128,1352,2480,766,67.9,30.9,-32.7,362,32.1,14.6,-24.7,-57.5,934,69.1,37.7,25.9,418,30.9,16.9,-23.2,2.7,-46.6,-54.8,-8.2,-8.4,27,63
49,"De La Cruz, Bryan",650559,1235,1232,2467,683,55.3,27.7,-23.6,552,44.7,22.4,-45.8,-69.4,922,74.8,37.4,24.0,310,25.2,12.6,-17.1,6.9,-45.8,-62.5,-16.7,-17.2,5,27
50,"Santana, Carlos",467793,1115,1348,2463,587,52.6,23.8,-33.2,528,47.4,21.4,-40.5,-73.7,1069,79.3,43.4,23.5,279,20.7,11.3,-17.2,6.3,-57.8,-67.4,-9.6,-9.9,23,56
51,"Chapman, Matt",656305,1062,1389,2451,665,62.6,27.1,-32.5,397,37.4,16.2,-38.7,-71.2,1020,73.4,41.6,29.8,369,26.6,15.1,-22.4,7.3,-65.9,-63.9,2.1,2.1,97,89
52,"Suzuki, Seiya",673548,1000,1445,2445,744,74.4,30.4,-25.8,256,25.6,10.5,-21.6,-47.4,903,62.5,36.9,28.5,542,37.5,22.2,-26.4,2.1,-40.4,-45.3,-4.9,-5.1,44,74
53,"Guerrero Jr., Vladimir",665489,1234,1207,2441,775,62.8,31.7,-17.1,459,37.2,18.8,-33.7,-50.9,890,73.7,36.5,30.3,317,26.3,13.0,-17.9,12.4,-22.2,-38.4,-16.2,-16.9,6,28
54,"Melendez, MJ",669004,1167,1271,2438,670,57.4,27.5,-30.6,497,42.6,20.4,-43.8,-74.4,889,69.9,36.5,27.2,382,30.1,15.7,-22.5,4.7,-62.1,-69.8,-7.6,-7.9,30,66
55,"Carroll, Corbin",682998,1107,1317,2424,777,70.2,32.1,-27.0,330,29.8,13.6,-23.2,-50.2,861,65.4,35.5,21.5,456,34.6,18.8,-25.2,-3.7,-38.5,-53.9,-15.5,-16.2,7,31
56,"Bell, Josh",605137,1158,1270,2428,706,61.0,29.1,-29.9,452,39.0,18.6,-35.5,-65.4,888,69.9,36.6,22.7,382,30.1,15.7,-20.6,2.1,-42.1,-63.3,-21.2,-22.2,1,15
57,"Castellanos, Nick",592206,1365,1062,2427,812,59.5,33.5,-23.2,553,40.5,22.8,-40.9,-64.1,763,71.8,31.4,23.5,299,28.2,12.3,-17.1,6.4,-41.8,-57.7,-15.9,-16.7,6,29
58,"France, Ty",664034,1290,1135,2425,689,53.4,28.4,-29.0,601,46.6,24.8,-47.8,-76.7,892,78.6,36.8,25.1,243,21.4,10.0,-13.2,11.9,-55.6,-64.8,-9.2,-9.7,24,57
59,"Contreras, William",661388,1044,1375,2419,609,58.3,25.2,-14.9,435,41.7,18.0,-34.9,-49.7,992,72.1,41.0,27.0,383,27.9,15.8,-24.0,3.1,-33.7,-46.7,-12.9,-13.6,12,41
60,"Henderson, Gunnar",683002,1125,1280,2405,697,62.0,29.0,-25.7,428,38.0,17.8,-34.4,-60.1,850,66.4,35.3,25.3,430,33.6,17.9,-23.8,1.5,-47.3,-58.6,-11.3,-12.0,17,49
61,"Abreu, José",547989,1203,1197,2400,592,49.2,24.7,-35.0,611,50.8,25.5,-48.5,-83.5,846,70.7,35.2,21.9,351,29.3,14.6,-18.2,3.7,-57.0,-79.8,-22.9,-24.2,1,10
62,"Ozuna, Marcell",542303,1146,1220,2366,811,70.8,34.3,-17.6,335,29.2,14.2,-27.9,-45.6,848,69.5,35.8,29.6,372,30.5,15.7,-18.9,10.7,-27.3,-34.9,-7.6,-8.1,30,64
63,"Paredes, Isaac",670623,1080,1286,2366,497,46.0,21.0,-30.3,583,54.0,24.6,-52.9,-83.2,1019,79.2,43.1,25.1,267,20.8,11.3,-15.1,10.0,-59.8,-73.1,-13.3,-14.3,11,38
64,"Verdugo, Alex",657077,964,1397,2361,625,64.8,26.5,-20.6,339,35.2,14.4,-26.5,-47.0,890,63.7,37.7,23.1,507,36.3,21.5,-28.1,-5.0,-35.3,-52.0,-16.8,-18.1,5,24
65,"Díaz, Yandy",650490,1003,1353,2356,676,67.4,28.7,-16.8,327,32.6,13.9,-28.0,-44.7,949,70.1,40.3,26.6,404,29.9,17.1,-19.7,6.8,-32.9,-37.9,-5.0,-5.4,43,73
66,"Outman, James",681546,1081,1270,2351,600,55.5,25.5,-31.9,481,44.5,20.5,-40.2,-72.1,995,78.3,42.3,25.1,275,21.7,11.7,-19.4,5.7,-64.1,-66.4,-2.2,-2.4,64,81
67,"Benintendi, Andrew",643217,1148,1200,2348,656,57.1,27.9,-38.1,492,42.9,21.0,-34.0,-72.0,929,77.4,39.6,23.0,271,22.6,11.5,-16.4,6.6,-58.8,-65.4,-6.6,-7.2,35,68
68,"Giménez, Andrés",665926,1264,1065,2329,594,47.0,25.5,-28.8,670,53.0,28.8,-58.3,-87.1,822,77.2,35.3,18.4,243,22.8,10.4,-13.0,5.4,-59.0,-81.7,-22.6,-24.7,1,9
69,"Grisham, Trent",663757,961,1368,2329,568,59.1,24.4,-34.7,393,40.9,16.9,-34.6,-69.3,1009,73.8,43.3,19.1,359,26.2,15.4,-22.3,-3.2,-72.1,-72.5,-0.4,-0.5,83,85
70,"Raleigh, Cal",663728,1162,1176,2338,610,52.5,26.1,-29.8,552,47.5,23.6,-47.9,-77.7,896,76.2,38.3,27.6,280,23.8,12.0,-18.4,9.2,-50.7,-68.6,-17.8,-19.4,4,20
71,"Tatis Jr., Fernando",665487,1262,1071,2333,777,61.6,33.3,-20.0,485,38.4,20.8,-38.0,-58.1,797,74.4,34.2,28.3,274,25.6,11.7,-13.2,15.1,-33.2,-43.0,-9.7,-10.6,23,52
72,"Volpe, Anthony",683011,1112,1216,2328,692,62.2,29.7,-33.6,420,37.8,18.0,-32.7,-66.3,854,70.2,36.7,24.3,362,29.8,15.5,-19.5,4.9,-54.1,-61.4,-7.3,-8.0,32,65
73,"Candelario, Jeimer",600869,1106,1227,2333,585,52.9,25.1,-29.3,521,47.1,22.3,-45.2,-74.5,944,76.9,40.5,23.9,283,23.1,12.1,-18.5,5.4,-59.4,-69.1,-9.6,-10.5,23,53
74,"Ohtani, Shohei",660271,1110,1193,2303,780,70.3,33.9,-10.5,330,29.7,14.3,-21.0,-31.5,753,63.1,32.7,30.6,440,36.9,19.1,-23.8,6.8,-3.9,-24.7,-20.8,-23.0,2,13
75,"Vaughn, Andrew",683734,1100,1217,2317,675,61.4,29.1,-20.5,425,38.6,18.3,-34.4,-54.9,809,66.5,34.9,25.0,408,33.5,17.6,-23.1,1.9,-34.8,-53.0,-18.2,-20.0,3,19
76,"Soler, Jorge",624585,1022,1293,2315,707,69.2,30.5,-12.9,315,30.8,13.6,-24.4,-37.3,876,67.7,37.8,30.8,417,32.3,18.0,-23.0,7.8,-20.1,-29.5,-9.5,-10.4,24,54
77,"Varsho, Daulton",662139,1143,1155,2298,611,53.5,26.6,-30.8,532,46.5,23.2,-44.5,-75.3,873,75.6,38.0,21.5,282,24.4,12.3,-16.1,5.4,-65.7,-69.9,-4.2,-4.6,48,76
78,"Peña, Jeremy",665161,1219,1075,2294,670,55.0,29.2,-28.3,549,45.0,23.9,-39.4,-67.7,781,72.7,34.0,24.0,294,27.3,12.8,-18.0,5.9,-46.8,-61.8,-14.9,-16.5,8,30
79,"Smith, Will",669257,1048,1244,2292,531,50.7,23.2,-31.1,517,49.3,22.6,-44.2,-75.4,989,79.5,43.2,25.9,255,20.5,11.1,-16.9,9.1,-60.8,-66.3,-5.5,-6.1,40,71
80,"Tovar, Ezequiel",678662,1359,923,2282,678,49.9,29.7,-29.0,681,50.1,29.8,-58.9,-87.9,773,83.7,33.9,20.0,150,16.3,6.6,-9.0,11.0,-61.7,-77.0,-15.3,-17.0,7,28
81,"Arenado, Nolan",571448,1108,1177,2285,688,62.1,30.1,-22.1,420,37.9,18.4,-33.2,-55.3,792,67.3,34.7,22.1,385,32.7,16.8,-22.1,-0.0,-31.9,-55.3,-23.4,-26.0,1,8
82,"Machado, Manny",592518,1125,1159,2284,728,64.7,31.9,-28.6,397,35.3,17.4,-30.6,-59.2,796,68.7,34.9,26.5,363,31.3,15.9,-20.5,6.0,-40.0,-53.2,-13.2,-14.7,12,37
83,"Suwinski, Jack",669261,887,1392,2279,622,70.1,27.3,-27.7,265,29.9,11.6,-21.7,-49.4,910,65.4,39.9,29.6,482,34.6,21.1,-29.0,0.6,-44.7,-48.8,-4.0,-4.5,49,76
84,"Correa, Carlos",621043,984,1273,2257,617,62.7,27.3,-18.6,367,37.3,16.3,-29.0,-47.6,792,62.2,35.1,26.5,481,37.8,21.3,-25.9,0.6,-28.1,-47.1,-19.0,-21.4,2,16
85,"LeMahieu, DJ",518934,883,1370,2253,589,66.7,26.1,-25.8,294,33.3,13.0,-21.8,-47.6,836,61.0,37.1,19.7,534,39.0,23.7,-29.4,-9.7,-43.2,-57.3,-14.1,-15.9,10,32
86,"Bohm, Alec",664761,1122,1130,2252,750,66.8,33.3,-28.0,372,33.2,16.5,-27.2,-55.2,734,65.0,32.6,25.2,396,35.0,17.6,-21.7,3.6,-39.8,-51.6,-11.9,-13.4,15,43
87,"Bichette, Bo",666182,1259,966,2225,661,52.5,29.7,-25.8,598,47.5,26.9,-50.4,-76.2,720,74.5,32.4,22.1,246,25.5,11.1,-13.6,8.4,-49.3,-67.8,-18.5,-21.2,3,17
88,"Gurriel Jr., Lourdes",666971,1087,1128,2215,574,52.8,25.9,-25.7,513,47.2,23.2,-40.8,-66.4,811,71.9,36.6,19.6,317,28.1,14.3,-17.9,1.7,-48.1,-64.7,-16.6,-19.1,5,21
89,"Abrams, CJ",682928,1171,1029,2200,642,54.8,29.2,-31.1,529,45.2,24.0,-41.7,-72.8,743,72.2,33.8,20.4,286,27.8,13.0,-15.9,4.5,-50.9,-68.3,-17.4,-20.1,4,19
90,"Smith, Dominic",642086,1083,1127,2210,695,64.2,31.4,-33.1,388,35.8,17.6,-30.8,-63.8,779,69.1,35.2,21.7,348,30.9,15.7,-17.8,3.9,-50.5,-60.0,-9.5,-10.9,24,51
91,"India, Jonathan",663697,850,1354,2204,606,71.3,27.5,-23.6,244,28.7,11.1,-21.9,-45.5,899,66.4,40.8,23.4,455,33.6,20.6,-25.6,-2.2,-42.2,-47.7,-5.5,-6.3,40,70
92,"Robert Jr., Luis",673357,1282,918,2200,748,58.3,34.0,-22.3,534,41.7,24.3,-42.5,-64.7,652,71.0,29.6,24.8,266,29.0,12.1,-11.9,13.0,-36.0,-51.7,-15.7,-18.2,7,24
93,"Merrifield, Whit",593160,1120,1076,2196,524,46.8,23.9,-32.1,596,53.2,27.1,-46.4,-78.5,851,79.1,38.8,18.3,225,20.9,10.2,-14.1,4.2,-63.3,-74.3,-11.0,-12.8,18,45
94,"Yoshida, Masataka",807799,952,1245,2197,655,68.8,29.8,-22.6,297,31.2,13.5,-21.9,-44.6,748,60.1,34.0,17.1,497,39.9,22.6,-25.3,-8.3,-35.9,-52.9,-16.9,-19.6,4,20
95,"Friedl, TJ",670770,904,1269,2173,536,59.3,24.7,-29.7,368,40.7,16.9,-30.3,-60.0,947,74.6,43.6,16.9,322,25.4,14.8,-19.7,-2.8,-58.6,-62.8,-4.2,-4.9,48,74
96,"McNeil, Jeff",643446,1155,1031,2186,493,42.7,22.6,-28.4,662,57.3,30.3,-51.5,-79.8,868,84.2,39.7,17.3,163,15.8,7.5,-11.4,5.8,-60.4,-74.0,-13.6,-15.8,11,33
97,"Arraez, Luis",650333,1098,1059,2157,771,70.2,35.7,-24.8,327,29.8,15.2,-22.8,-47.6,653,61.7,30.3,16.7,406,38.3,18.8,-17.8,-1.1,-35.9,-48.7,-12.8,-15.1,13,36
98,"Bellinger, Cody",641355,1077,1081,2158,542,50.3,25.1,-30.3,535,49.7,24.8,-42.6,-72.8,754,69.8,34.9,19.0,327,30.2,15.2,-18.8,0.2,-51.6,-72.6,-21.1,-24.8,2,9
99,"Rooker, Brent",667670,991,1161,2152,652,65.8,30.3,-18.6,339,34.2,15.8,-26.2,-44.8,792,68.2,36.8,23.9,369,31.8,17.1,-21.3,2.6,-29.2,-42.2,-12.9,-15.3,12,35
100,"Vierling, Matt",663837,934,1182,2116,563,60.3,26.6,-28.5,371,39.7,17.5,-32.0,-60.6,831,70.3,39.3,20.8,351,29.7,16.6,-19.8,1.0,-53.0,-59.6,-6.6,-7.9,35,66
101,"Arcia, Orlando",606115,985,1147,2132,632,64.2,29.6,-27.6,353,35.8,16.6,-31.0,-58.6,792,69.0,37.1,22.0,355,31.0,16.7,-19.3,2.7,-44.6,-55.9,-11.3,-13.5,17,42
102,"Hays, Austin",669720,986,1134,2120,622,63.1,29.3,-20.2,364,36.9,17.2,-25.5,-45.7,779,68.7,36.7,22.7,355,31.3,16.7,-20.7,2.0,-33.6,-43.7,-10.1,-12.1,22,48
103,"McKinstry, Zach",656716,985,1105,2090,576,58.5,27.6,-33.1,409,41.5,19.6,-38.7,-71.8,816,73.8,39.0,19.9,289,26.2,13.8,-15.4,4.5,-59.0,-67.3,-8.3,-10.1,26,55
104,"Renfroe, Hunter",592669,1066,1026,2092,547,51.3,26.1,-30.2,519,48.7,24.8,-39.0,-69.2,807,78.7,38.6,20.4,219,21.3,10.5,-14.8,5.6,-50.1,-63.6,-13.5,-16.4,11,30
105,"Taveras, Leody",665750,1033,1065,2098,622,60.2,29.6,-26.3,411,39.8,19.6,-32.9,-59.2,738,69.3,35.2,22.6,327,30.7,15.6,-18.6,3.9,-47.0,-55.2,-8.2,-9.9,27,56
106,"Profar, Jurickson",595777,991,1111,2102,551,55.6,26.2,-31.2,440,44.4,20.9,-38.1,-69.3,897,80.7,42.7,17.5,214,19.3,10.2,-13.5,4.0,-63.8,-65.3,-1.5,-1.8,71,82
107,"Wade Jr., LaMonte",664774,820,1270,2090,556,67.8,26.6,-18.0,264,32.2,12.6,-22.6,-40.6,893,70.3,42.7,22.1,377,29.7,18.0,-22.1,0.0,-40.8,-40.6,0.2,0.3,88,87
108,"Realmuto, J.T.",592663,1058,1038,2096,605,57.2,28.9,-26.2,453,42.8,21.6,-39.8,-66.0,740,71.3,35.3,20.5,298,28.7,14.2,-15.6,4.9,-46.2,-61.1,-14.9,-18.1,8,24
109,"Davis, J.D.",605204,1111,981,2092,601,54.1,28.7,-26.0,510,45.9,24.4,-43.8,-69.7,816,83.2,39.0,23.8,165,16.8,7.9,-10.6,13.2,-56.3,-56.5,-0.2,-0.2,85,86
110,"Noda, Ryan",676116,893,1194,2087,544,60.9,26.1,-28.3,349,39.1,16.7,-32.4,-60.8,917,76.8,43.9,21.5,277,23.2,13.3,-18.5,2.9,-63.4,-57.9,5.5,6.7,100,95
111,"Canha, Mark",592192,867,1218,2085,509,58.7,24.4,-31.2,358,41.3,17.2,-28.3,-59.5,883,72.5,42.4,23.2,335,27.5,16.1,-19.6,3.7,-52.7,-55.8,-3.1,-3.8,55,77
112,"Nootbaar, Lars",663457,733,1337,2070,574,78.3,27.7,-21.4,159,21.7,7.7,-10.4,-31.7,751,56.2,36.3,20.6,586,43.8,28.3,-33.7,-13.0,-31.0,-44.7,-13.7,-16.9,10,28
113,"Perdomo, Geraldo",672695,785,1258,2043,231,29.4,11.3,-23.9,554,70.6,27.1,-47.5,-71.4,1135,90.2,55.6,10.7,123,9.8,6.0,-12.7,-2.0,-77.4,-73.4,4.0,5.0,99,94
114,"Casas, Triston",671213,900,1162,2062,608,67.6,29.5,-23.2,292,32.4,14.2,-19.5,-42.8,796,68.5,38.6,21.4,366,31.5,17.7,-22.0,-0.6,-32.0,-43.4,-11.3,-14.0,17,39
115,"Perez, Salvador",521692,1240,821,2061,595,48.0,28.9,-24.2,645,52.0,31.3,-46.5,-70.6,624,76.0,30.3,20.6,197,24.0,9.6,-9.2,11.4,-30.8,-59.2,-28.4,-35.1,0,2
116,"Cronenworth, Jake",630105,976,1079,2055,501,51.3,24.4,-30.5,475,48.7,23.1,-41.6,-72.0,797,73.9,38.8,15.6,282,26.1,13.7,-16.3,-0.7,-68.1,-72.7,-4.6,-5.7,46,72
117,"Stephenson, Tyler",663886,872,1178,2050,595,68.2,29.0,-19.9,277,31.8,13.5,-22.6,-42.5,775,65.8,37.8,20.3,403,34.2,19.7,-22.5,-2.1,-34.1,-44.6,-10.5,-13.0,20,45
