,NAME,ID,N_SWINGS,N_TAKES,N_P,GOOD_SWINGS,G%S,GS%,GS_RV,BAD_SWINGS,B%S,BS%,BS_RV,SRV,GOOD_TAKES,G%T,GT%,GT_RV,BAD_TAKES,B%T,BT%,BT_RV,TRV,EXP_RV,TOT_RV,SWTR,SWTR_Per650,Total_Percentile,Rate_Percentile
515,"Meckler, Wade",685133,96,174,270,50,52.1,18.5,-3.1,46,47.9,17.0,-4.0,-7.1,126,72.4,46.7,1.9,48,27.6,17.8,-2.5,-0.6,-8.6,-7.8,0.8,7.6,94,97
516,"Yepez, Juan",660766,138,133,271,50,36.2,18.5,-2.6,88,63.8,32.5,-8.3,-11.0,102,76.7,37.6,2.2,31,23.3,11.4,-2.0,0.3,-8.3,-10.7,-2.4,-22.6,61,13
517,"Ruf, Darin",573131,94,170,264,59,62.8,22.3,-1.2,35,37.2,13.3,-3.3,-4.6,92,54.1,34.8,2.5,78,45.9,29.5,-3.4,-1.0,-4.1,-5.5,-1.5,-14.0,71,39
518,"Myers, Dane",667472,126,135,261,80,63.5,30.7,-2.1,46,36.5,17.6,-3.5,-5.6,85,63.0,32.6,2.3,50,37.0,19.2,-2.9,-0.6,-4.2,-6.2,-2.0,-19.1,66,21
519,"Adell, Jo",666176,135,126,261,58,43.0,22.2,-1.1,77,57.0,29.5,-6.7,-7.8,96,76.2,36.8,3.1,30,23.8,11.5,-2.1,1.0,-6.5,-6.8,-0.3,-3.3,84,79
520,"Stefanic, Michael",683021,99,153,252,49,49.5,19.4,-2.2,50,50.5,19.8,-4.2,-6.4,116,75.8,46.0,1.8,37,24.2,14.7,-2.5,-0.7,-6.2,-7.1,-0.8,-8.3,80,63
521,"Cordero, Franchy",614173,125,124,249,82,65.6,32.9,-1.7,43,34.4,17.3,-3.8,-5.5,78,62.9,31.3,2.1,46,37.1,18.5,-2.9,-0.9,-3.9,-6.4,-2.4,-24.6,61,10
522,"Loftin, Nick",679845,117,133,250,80,68.4,32.0,-3.0,37,31.6,14.8,-2.8,-5.8,75,56.4,30.0,2.4,58,43.6,23.2,-1.6,0.7,-4.0,-5.0,-1.0,-10.7,76,52
523,"Ramos, Heliot",671218,123,119,242,60,48.8,24.8,-2.7,63,51.2,26.0,-6.9,-9.6,93,78.2,38.4,2.5,26,21.8,10.7,-1.0,1.5,-7.3,-8.1,-0.8,-8.6,80,62
524,"Trammell, Taylor",666211,99,137,236,56,56.6,23.7,-1.5,43,43.4,18.2,-4.0,-5.5,120,87.6,50.8,1.5,17,12.4,7.2,-1.1,0.4,-5.5,-5.1,0.4,4.1,91,94
525,"Locastro, Tim",641796,122,114,236,48,39.3,20.3,-3.5,74,60.7,31.4,-5.8,-9.3,77,67.5,32.6,0.8,37,32.5,15.7,-2.4,-1.6,-9.8,-10.9,-1.1,-11.7,75,50
526,"Lamb, Jake",571875,121,116,237,42,34.7,17.7,-3.1,79,65.3,33.3,-7.5,-10.6,99,85.3,41.8,2.0,17,14.7,7.2,-1.0,1.0,-9.3,-9.6,-0.4,-4.0,83,77
527,"Lewis, Kyle",641786,109,122,231,31,28.4,13.4,-3.5,78,71.6,33.8,-7.0,-10.5,112,91.8,48.5,1.6,10,8.2,4.3,-0.5,1.1,-9.2,-9.5,-0.2,-2.4,85,81
528,"Dalbec, Bobby",666915,110,119,229,32,29.1,14.0,-1.5,78,70.9,34.1,-7.5,-9.0,86,72.3,37.6,1.7,33,27.7,14.4,-1.6,0.1,-6.5,-8.9,-2.4,-26.7,61,6
529,"Thompson, Bubba",669352,109,105,214,45,41.3,21.0,-2.5,64,58.7,29.9,-5.8,-8.3,87,82.9,40.7,1.7,18,17.1,8.4,-1.2,0.5,-6.4,-7.8,-1.4,-16.5,72,30
530,"Brantley, Michael",488726,88,132,220,57,64.8,25.9,-1.2,31,35.2,14.1,-2.8,-3.9,87,65.9,39.5,1.3,45,34.1,20.5,-2.5,-1.2,-5.3,-5.2,0.1,1.2,87,88
