XLOC,ZLOC,RV_00,RV_10,RV_20,RV_30,RV_01,RV_11,RV_21,RV_31,RV_02,RV_12,RV_22,RV_32,CS,CONTACT,xWOBACON,CRV,FOUL,SWING_00,TAKE_00,DELTA_00,SWING_01,TAKE_01,DELTA_01,SWING_02,TAKE_02,DELTA_02,SWING_10,TAKE_10,DELTA_10,SWING_11,TAKE_11,DELTA_11,SWING_12,TAKE_12,DELTA_12,SWING_20,TAKE_20,DELTA_20,SWING_21,TAKE_21,DELTA_21,SWING_22,TAKE_22,DELTA_22,SWING_30,TAKE_30,DELTA_30,SWING_31,TAKE_31,DELTA_31,SWING_32,TAKE_32,DELTA_32
-0.05,1.65,-0.046,-0.05,-0.082,-0.037,0.011,-0.047,-0.114,-0.012,0.063,-0.046,-0.085,-0.172,0.8037,0.463,0.34,-0.032,0.2013,-0.0421331,-0.023455299999999995,-0.018677800000000005,-0.052469299999999996,-0.0362775,-0.0161918,-0.09536599999999998,-0.1164327,0.02106670000000002,-0.040656500000000005,-0.0108551,-0.029801400000000006,-0.0546842,-0.03397739999999999,-0.02070680000000001,-0.10664299999999999,-0.1299733,0.023330300000000026,-0.0605906,-0.021758499999999993,-0.03883210000000001,-0.0657587,-0.0428921,-0.0228666,-0.127049,-0.1512878,0.024238800000000005,-0.1011971,-0.0840216,-0.017175499999999996,-0.0635438,-0.020065799999999995,-0.043478,-0.17269399999999996,-0.19035359999999996,0.017659599999999998
-0.05,1.75,-0.067,-0.096,-0.098,-0.076,-0.075,-0.097,-0.096,-0.023,0.125,-0.014,-0.045,-0.129,0.963,0.434,0.329,-0.104,0.2288,-0.0745436,-0.03444699999999999,-0.04009660000000001,-0.08567079999999999,-0.048225,-0.037445799999999994,-0.13003599999999998,-0.143673,0.01363700000000001,-0.072954,-0.030448999999999997,-0.04250500000000001,-0.0880552,-0.050226,-0.0378292,-0.141922,-0.16326700000000002,0.02134500000000003,-0.0944136,-0.05441499999999999,-0.03999860000000001,-0.0999772,-0.064079,-0.035898200000000005,-0.16343000000000002,-0.19812199999999996,0.034691999999999945,-0.13812760000000002,-0.11078400000000001,-0.02734360000000001,-0.09759280000000001,-0.057342,-0.04025080000000001,-0.21154,-0.274464,0.06292399999999998
-0.05,1.85,-0.001,-0.058,-0.056,-0.065,-0.009,-0.085,-0.005,-0.151,0.109,0.121,-0.141,-0.109,0.9836,0.5,0.399,0.052,0.2091,-0.00023670000000000288,-0.0358684,0.0356317,-0.010164099999999999,-0.049769999999999995,0.0396059,-0.049,-0.1471956,0.09819560000000001,0.001181499999999995,-0.03298280000000001,0.0341643,-0.012291400000000004,-0.0523272,0.040035799999999996,-0.05950000000000001,-0.16757240000000004,0.10807240000000003,-0.017964200000000003,-0.058638,0.040673799999999996,-0.02292790000000001,-0.06681880000000001,0.0438909,-0.0785,-0.20417839999999998,0.12567839999999997,-0.05696470000000002,-0.11424480000000001,0.05728009999999999,-0.020800600000000006,-0.062162400000000013,0.041361800000000004,-0.121,-0.2853408,0.1643408
-0.05,1.95,-0.033,0.04,-0.006,-0.084,0.035,0.058,0.044,-0.083,0.314,0.089,-0.105,-0.042,1,0.517,0.439,0.131,0.2238,0.04157540000000001,-0.037,0.07857540000000002,0.03168020000000001,-0.051,0.08268020000000001,-0.004722999999999991,-0.15,0.145277,0.042989000000000006,-0.035,0.077989,0.02955980000000001,-0.054,0.08355980000000002,-0.01486599999999999,-0.171,0.15613400000000002,0.023905400000000014,-0.062,0.08590540000000002,0.018957800000000004,-0.069,0.0879578,-0.033219999999999986,-0.209,0.17578,-0.014968599999999999,-0.117,0.10203140000000001,0.021078200000000005,-0.066,0.08707820000000001,-0.07427499999999998,-0.294,0.219725
-0.05,2.05,-0.041,-0.016,-0.074,-0.035,0.055,0.074,0.03,0.14,0.13,0.126,0.001,0.032,1,0.546,0.481,0.131,0.2438,0.04570740000000001,-0.037,0.08270740000000001,0.03593820000000001,-0.051,0.08693820000000001,0.0034260000000000124,-0.15,0.153426,0.047103000000000006,-0.035,0.08210300000000001,0.03384480000000001,-0.054,0.0878448,-0.0061079999999999884,-0.171,0.16489200000000004,0.028262400000000007,-0.062,0.0902624,0.023377800000000004,-0.069,0.09237780000000001,-0.023359999999999978,-0.209,0.18564000000000003,-0.01011659999999999,-0.117,0.10688340000000002,0.025471200000000006,-0.066,0.0914712,-0.06194999999999998,-0.294,0.23205
-0.05,2.15,-0.013,-0.014,-0.168,-0.055,0.062,-0.032,-0.156,0.051,0.243,-0.023,-0.009,0.073,1,0.475,0.523,0.075,0.3103,0.004718899999999998,-0.037,0.041718899999999996,-0.006975300000000004,-0.051,0.04402469999999999,-0.043125000000000004,-0.15,0.106875,0.006389499999999992,-0.035,0.041389499999999996,-0.009481200000000002,-0.054,0.0445188,-0.05415000000000001,-0.171,0.11685000000000001,-0.016163600000000007,-0.062,0.04583639999999999,-0.022010700000000008,-0.069,0.0469893,-0.0741,-0.209,0.1349,-0.06210510000000002,-0.117,0.05489489999999999,-0.01950480000000001,-0.066,0.046495199999999993,-0.118725,-0.294,0.175275
-0.05,2.25,0.017,-0.02,-0.167,-0.103,0.067,-0.083,-0.033,0.044,0.249,0.014,0.079,-0.065,1,0.536,0.468,0.086,0.2811,0.0185273,-0.037,0.0555273,0.008095900000000003,-0.051,0.0590959,-0.023503999999999997,-0.15,0.126496,0.020017499999999997,-0.035,0.0550175,0.0058606000000000005,-0.054,0.0598606,-0.033248,-0.171,0.137752,-0.00010020000000000168,-0.062,0.0618998,-0.005315900000000005,-0.069,0.0636841,-0.050879999999999995,-0.209,0.15811999999999998,-0.04108070000000001,-0.117,0.0759193,-0.0030806000000000028,-0.066,0.0629194,-0.09031999999999998,-0.294,0.20368
-0.05,2.35,-0.03,0.119,-0.015,-0.102,0.055,-0.066,-0.078,-0.051,0.011,-0.016,0.097,0.025,1,0.531,0.461,0.088,0.2629,0.0196477,-0.037,0.056647699999999995,0.009401100000000003,-0.051,0.0604011,-0.023621999999999997,-0.15,0.126378,0.021111499999999995,-0.035,0.056111499999999995,0.007205400000000001,-0.054,0.0612054,-0.03347100000000001,-0.171,0.137529,0.0013502000000000028,-0.062,0.0633502,-0.0037731000000000084,-0.069,0.0652269,-0.051293,-0.209,0.15770699999999999,-0.03890430000000001,-0.117,0.07809569999999999,-0.0015774000000000066,-0.066,0.0644226,-0.09115799999999999,-0.294,0.202842
-0.05,2.45,-0.049,-0.031,0.153,-0.151,0.063,0.074,-0.099,-0.183,0.075,-0.092,0.017,0.072,1,0.458,0.458,0.059,0.3168,-0.0047536,-0.037,0.032246399999999995,-0.016776799999999998,-0.051,0.034223199999999995,-0.05427799999999999,-0.15,0.095722,-0.003036000000000004,-0.035,0.031964,-0.019353199999999997,-0.054,0.034646800000000005,-0.06566000000000001,-0.171,0.10534,-0.026223599999999996,-0.062,0.0357764,-0.032235200000000006,-0.069,0.0367648,-0.086256,-0.209,0.12274399999999999,-0.0734576,-0.117,0.04354240000000001,-0.029658800000000003,-0.066,0.036341200000000004,-0.132326,-0.294,0.16167399999999998
-0.05,2.55,-0.016,-0.094,-0.152,-0.059,-0.017,0.008,-0.116,-0.15,0.12,0.056,-0.035,-0.01,1,0.473,0.419,0.007,0.313,-0.027769000000000002,-0.037,0.009230999999999996,-0.039529,-0.051,0.011470999999999995,-0.075739,-0.15,0.074261,-0.026089000000000008,-0.035,0.008910999999999995,-0.042049,-0.054,0.011950999999999996,-0.08680600000000002,-0.171,0.08419399999999999,-0.048769,-0.062,0.013231,-0.05464900000000001,-0.069,0.014350999999999996,-0.10683200000000001,-0.209,0.10216799999999998,-0.09496900000000003,-0.117,0.02203099999999998,-0.05212900000000001,-0.066,0.013870999999999994,-0.15162699999999998,-0.294,0.142373
