,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,EXP_RV+,SWTR+,SWTR_Per650+,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
293,"Fortes, Nick",663743,508,615,1123,60.2,-1.0,39.8,-8.9,-9.8,81.5,18.3,18.5,-4.8,13.4,3.6,3.8,-0.2,-0.4,-7.7,11.3,25.6,71.9,62.1,18.5,43.5,41.7,47,40,52,80
294,"Isbel, Kyle",664728,522,599,1121,54.4,-1.1,45.6,-10.2,-11.3,76.5,16.5,23.5,-6.1,10.4,-0.9,3.6,-4.5,-10.3,-0.1,-0.8,-1.9,66.2,61.7,23.5,38.2,30.9,5,36,8,32
295,"Sosa, Edmundo",624641,664,456,1120,51.5,-1.9,48.5,-15.9,-17.8,79.2,12.6,20.8,-3.3,9.3,-8.4,0.2,-8.6,-19.5,-3.7,-4.7,-10.7,62.8,51.4,20.8,30.5,30.7,0,0,28,4
296,"McCarthy, Jake",664983,562,550,1112,54.3,-1.3,45.7,-10.8,-12.1,82.0,17.7,18.0,-4.3,13.4,1.3,4.4,-3.0,-7.0,-5.7,7.1,16.2,68.0,59.7,18.0,41.7,36.3,29,15,60,48
297,"Jankowski, Travis",608671,418,691,1109,61.7,-0.8,38.3,-7.0,-7.8,75.8,21.6,24.2,-6.7,14.9,7.1,5.7,1.4,3.1,-7.2,14.3,32.7,70.5,67.0,24.2,42.8,37.6,41,91,4,90
298,"Haase, Eric",606992,604,514,1118,47.2,-1.6,52.8,-14.2,-15.8,79.6,14.5,20.4,-3.5,11.0,-4.8,2.9,-7.7,-17.5,-1.9,-2.9,-6.6,62.1,58.9,20.4,38.5,26.8,6,9,33,9
299,"d'Arnaud, Travis",518595,580,535,1115,57.1,-1.2,42.9,-11.1,-12.3,83.6,16.2,16.4,-3.5,12.7,0.5,2.9,-2.4,-5.5,-12.0,12.4,28.3,69.8,57.5,16.4,41.0,40.6,22,5,80,57
300,"Sánchez, Gary",596142,456,635,1091,53.1,-1.4,46.9,-10.1,-11.5,76.2,18.7,23.8,-6.5,12.2,0.7,4.1,-3.4,-8.0,-6.0,6.7,15.6,66.5,66.7,23.8,42.9,29.3,42,89,6,43
301,"Stallings, Jacob",607732,438,641,1079,59.8,-1.1,40.2,-8.6,-9.7,78.6,19.8,21.4,-6.0,13.8,4.1,3.5,0.6,1.3,-6.8,10.9,25.7,71.0,65.8,21.4,44.4,38.4,55,84,21,86
302,"Diaz, Jordan",672478,606,477,1083,48.0,-0.9,52.0,-14.0,-14.9,81.6,15.1,18.4,-3.5,11.5,-3.3,2.3,-5.6,-13.2,-5.3,2.0,4.6,62.8,57.2,18.4,38.8,29.6,8,4,54,21
303,"Cron, C.J.",543068,508,560,1068,45.9,-1.2,54.1,-13.7,-14.9,79.5,15.2,20.5,-4.7,10.5,-4.4,3.7,-8.1,-19.3,1.9,-6.3,-15.0,63.5,65.6,20.5,45.1,25.3,61,82,32,5
304,"Madrigal, Nick",663611,476,586,1062,54.0,-1.8,46.0,-10.5,-12.3,72.5,13.7,27.5,-5.3,8.4,-3.9,2.0,-5.9,-14.2,-2.2,-1.7,-4.1,64.2,62.3,27.5,34.8,26.5,2,43,0,18
305,"Mancini, Trey",641820,520,530,1050,50.8,-1.4,49.2,-11.2,-12.7,82.3,17.7,17.7,-4.4,13.3,0.6,4.5,-3.9,-9.5,6.9,-6.3,-15.3,66.7,62.3,17.7,44.5,33.0,56,43,65,36
306,"Carlson, Dylan",666185,481,565,1046,54.3,-1.0,45.7,-9.5,-10.5,83.9,18.7,16.1,-3.3,15.4,4.9,5.0,-0.2,-0.4,4.0,0.8,2.0,70.3,64.5,16.1,48.4,38.2,91,72,83,80
307,"Wallner, Matt",670242,493,553,1046,56.0,-1.1,44.0,-8.6,-9.7,87.2,21.1,12.8,-4.2,16.9,7.2,5.2,2.0,4.9,-3.7,10.9,26.5,72.5,63.6,12.8,50.7,43.1,97,60,98,92
308,"O'Neill, Tyler",641933,468,574,1042,56.2,-1.6,43.8,-9.1,-10.7,82.6,18.4,17.4,-4.0,14.4,3.8,4.3,-0.5,-1.3,-0.3,4.1,9.9,70.7,64.3,17.4,46.9,38.8,80,70,70,76
309,"Garrett, Stone",656448,548,490,1038,47.6,-1.3,52.4,-12.6,-14.0,84.3,17.1,15.7,-3.3,13.8,-0.2,3.7,-3.8,-9.4,0.2,-0.4,-1.0,64.9,61.3,15.7,45.6,31.9,66,32,87,37
310,"Ford, Mike",645801,441,591,1032,55.3,-1.3,44.7,-8.9,-10.1,81.0,19.6,19.0,-4.8,14.8,4.6,5.1,-0.5,-1.1,-1.9,6.6,16.2,70.1,66.3,19.0,47.3,36.4,83,87,48,76
311,"Davis, Henry",680779,459,572,1031,51.4,-0.5,48.6,-10.5,-11.1,79.9,17.9,20.1,-5.4,12.5,1.5,3.9,-2.5,-6.1,7.6,-6.2,-15.2,67.2,65.9,20.1,45.8,31.3,68,85,37,54
312,"Short, Zack",670097,424,593,1017,66.5,-1.4,33.5,-6.2,-7.6,79.4,17.9,20.6,-4.7,13.1,5.6,2.1,3.5,8.6,2.2,3.3,8.3,74.0,62.5,20.6,42.0,45.9,33,47,31,98
313,"Vargas, Ildemaro",545121,466,554,1020,55.4,-1.4,44.6,-9.8,-11.3,78.2,15.9,21.8,-3.8,12.1,0.8,4.1,-3.2,-8.1,-9.3,10.1,25.2,67.7,62.7,21.8,40.8,33.5,21,49,18,42
314,"Lopez, Nicky",670032,489,532,1021,57.9,-1.4,42.1,-9.8,-11.1,80.1,17.6,19.9,-3.6,14.0,2.9,4.4,-1.5,-3.8,-4.0,6.9,17.1,69.4,60.1,19.9,40.2,37.9,16,19,40,65
315,"Carpenter, Matt",572761,407,604,1011,56.5,-1.4,43.5,-8.1,-9.5,77.8,20.5,22.2,-5.4,15.0,5.6,4.7,0.9,2.1,7.2,-1.6,-4.1,69.2,67.1,22.2,45.0,34.3,61,92,15,88
316,"Pasquantino, Vinnie",686469,471,542,1013,45.4,-1.3,54.6,-11.9,-13.2,80.1,17.1,19.9,-4.1,13.0,-0.3,5.6,-5.9,-14.8,-5.1,4.9,12.2,64.0,67.0,19.9,47.0,25.5,81,91,40,16
317,"Naylor, Bo",666310,450,561,1011,54.7,-1.4,45.3,-9.6,-11.0,81.6,19.1,18.4,-3.8,15.3,4.4,5.6,-1.3,-3.2,4.8,-0.5,-1.2,69.6,65.1,18.4,46.7,36.3,78,77,54,68
318,"Higashioka, Kyle",543309,497,510,1007,54.3,-1.1,45.7,-10.3,-11.4,79.6,14.1,20.4,-4.4,9.7,-1.7,2.1,-3.8,-9.7,-2.6,0.9,2.2,67.1,60.1,20.4,39.7,33.9,14,19,33,34
319,"Refsnyder, Rob",608701,403,601,1004,59.1,-1.2,40.9,-8.1,-9.3,81.4,20.3,18.6,-4.3,16.0,6.7,4.5,2.3,5.7,-4.8,11.5,29.1,72.4,67.3,18.6,48.6,40.4,93,93,51,94
320,"Castro, Rodolfo",666801,471,525,996,54.1,-1.1,45.9,-9.4,-10.5,82.3,17.2,17.7,-4.6,12.6,2.1,5.1,-3.0,-7.6,3.1,-0.9,-2.4,69.0,62.9,17.7,45.2,36.4,62,52,65,45
