,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
122,"Rafaela, Ceddanne",678882,676,446,1122,48.1,-1.5,51.9,-16.1,-17.6,80.3,11.9,19.7,-3.3,8.6,-9.0,-4.4,-4.6,-10.4,60.9,52.4,19.7,32.7,28.3,1,1,38,2
123,"Tauchman, Mike",643565,537,589,1126,59.8,-5.9,40.2,-12.2,-18.1,85.1,20.8,14.9,-3.2,17.6,-0.6,-6.8,6.2,14.0,73.0,60.9,14.9,46.0,44.8,61,29,84,87
124,"Cowser, Colton",681297,499,622,1121,57.3,-0.8,42.7,-11.3,-12.1,84.6,19.1,15.4,-4.5,14.6,2.6,-2.4,5.0,11.2,72.4,64.8,15.4,49.3,41.9,84,70,79,77
125,"Seager, Corey",608369,584,542,1126,51.5,-3.2,48.5,-11.9,-15.1,89.9,20.0,10.1,-2.8,17.2,2.1,-0.7,2.8,6.3,70.0,61.8,10.1,51.7,41.4,95,39,99,49
126,"Stanton, Giancarlo",519317,528,595,1123,46.8,0.1,53.2,-16.4,-16.3,76.5,17.6,23.5,-6.0,11.6,-4.7,0.1,-4.8,-11.0,62.5,64.8,23.5,41.3,23.3,31,70,10,1
127,"Lowe, Nathaniel",663993,486,635,1121,55.3,3.3,44.7,-10.0,-6.7,77.5,20.4,22.5,-5.1,15.2,8.5,3.2,5.4,12.2,67.9,64.7,22.5,42.1,32.8,35,69,16,83
128,"Pages, Andy",681624,588,526,1114,57.1,0.2,42.9,-11.9,-11.7,81.6,16.3,18.4,-3.3,13.0,1.3,-0.9,2.3,5.1,68.7,56.1,18.4,37.6,38.7,10,4,54,45
129,"O'Neill, Tyler",641933,467,638,1105,60.4,1.0,39.6,-3.3,-2.3,77.7,20.1,22.3,-6.1,14.0,11.7,8.9,2.8,6.4,70.4,63.8,22.3,41.5,38.1,32,59,18,50
130,"Correa, Carlos",621043,487,614,1101,50.9,-4.6,49.1,-10.1,-14.8,82.9,20.1,17.1,-4.9,15.1,0.4,-1.4,1.7,4.0,68.8,67.2,17.1,50.1,33.8,87,89,66,37
131,"Melendez, MJ",669004,576,521,1097,57.3,0.7,42.7,-10.8,-10.1,86.4,17.9,13.6,-3.1,14.8,4.6,-0.0,4.7,10.8,71.1,57.7,13.6,44.1,43.7,46,9,91,75
132,"Diaz, Yainer",673237,641,453,1094,48.2,3.3,51.8,-16.9,-13.6,83.9,13.6,16.1,-2.4,11.2,-2.5,0.0,-2.5,-5.8,63.0,55.2,16.1,39.0,32.1,19,3,75,6
133,"Rizzo, Anthony",519203,544,547,1091,41.7,-3.8,58.3,-18.0,-21.8,81.2,15.9,18.8,-3.7,12.3,-9.5,-6.5,-3.1,-7.1,61.5,66.2,18.8,47.3,22.9,74,83,48,4
134,"Burleson, Alec",676475,611,472,1083,55.2,1.7,44.8,-12.9,-11.2,82.8,14.5,17.2,-2.7,11.7,0.5,0.3,0.2,0.5,67.2,53.7,17.2,36.5,38.0,6,2,64,26
135,"Adell, Jo",666176,552,534,1086,46.2,-1.6,53.8,-12.8,-14.3,86.7,17.0,13.3,-3.5,13.4,-0.9,-0.8,-0.1,-0.3,66.1,64.5,13.3,51.2,32.9,92,67,93,22
136,"Siri, Jose",642350,515,562,1077,46.2,-4.2,53.8,-12.2,-16.4,82.6,17.7,17.4,-4.5,13.2,-3.2,-5.1,1.9,4.5,65.2,66.1,17.4,48.7,28.8,80,82,61,41
137,"Bichette, Bo",666182,606,464,1070,45.2,-2.1,54.8,-16.6,-18.8,85.6,14.0,14.4,-2.9,11.2,-7.6,-4.8,-2.8,-6.7,62.7,59.2,14.4,44.7,30.8,51,15,88,5
138,"Rojas, Josh",668942,495,580,1075,59.2,-4.2,40.8,-8.6,-12.8,82.8,17.5,17.2,-4.9,12.6,-0.2,-3.8,3.6,8.5,71.9,62.1,17.2,44.9,42.0,52,43,64,63
139,"Yelich, Christian",592885,496,580,1076,56.5,1.3,43.5,-8.2,-6.8,81.7,19.9,18.3,-3.6,16.3,9.5,4.5,5.0,11.9,70.1,62.9,18.3,44.6,38.2,50,49,55,81
140,"Jeffers, Ryan",680777,498,576,1074,45.0,-3.5,55.0,-15.3,-18.8,83.3,16.8,16.7,-4.1,12.8,-6.0,-6.1,0.1,0.2,65.5,68.2,16.7,51.5,28.3,94,94,70,25
141,"Langford, Wyatt",694671,460,613,1073,55.4,-1.2,44.6,-9.8,-11.0,81.2,18.4,18.8,-5.1,13.3,2.3,0.1,2.2,5.3,70.2,66.1,18.8,47.4,36.7,75,82,48,46
142,"Estrada, Thairo",642731,538,530,1068,47.6,0.5,52.4,-11.8,-11.3,74.3,13.1,25.7,-4.8,8.3,-2.9,-0.4,-2.6,-6.1,60.9,60.6,25.7,35.0,21.9,3,24,2,5
143,"Rodgers, Brendan",663898,527,539,1066,51.8,-4.0,48.2,-13.8,-17.8,87.4,16.1,12.6,-2.9,13.2,-4.6,-8.1,3.5,8.3,69.8,63.3,12.6,50.7,39.2,89,54,94,61
144,"Kwan, Steven",680757,423,642,1065,57.2,-3.1,42.8,-7.5,-10.6,77.3,17.8,22.7,-5.4,12.4,1.8,-3.1,4.9,11.7,69.3,67.2,22.7,44.5,34.5,49,89,14,80
145,"Gelof, Zack",680869,532,524,1056,56.8,1.0,43.2,-10.4,-9.3,81.9,16.4,18.1,-3.5,12.9,3.6,-0.1,3.6,8.8,69.2,58.7,18.1,40.6,38.6,27,13,57,64
146,"Pérez, Wenceel",672761,483,558,1041,52.6,4.1,47.4,-8.1,-4.0,77.1,16.1,22.9,-4.7,11.4,7.4,6.8,0.5,1.3,65.7,62.9,22.9,39.9,29.6,22,49,13,30
147,"Marsh, Brandon",669016,413,644,1057,53.3,-2.8,46.7,-7.1,-9.9,80.6,19.2,19.4,-5.7,13.5,3.6,-0.2,3.8,9.1,69.9,70.2,19.4,50.8,33.9,90,99,40,66
148,"Freeman, Tyler",671289,488,561,1049,52.3,-3.0,47.7,-10.9,-13.9,81.6,16.5,18.4,-3.9,12.6,-1.3,-3.2,1.9,4.6,68.0,64.2,18.4,45.9,33.9,60,64,54,42
149,"Tucker, Kyle",663656,428,624,1052,61.9,-2.1,38.1,-7.8,-9.9,84.6,25.5,15.4,-3.5,21.9,12.0,1.4,10.6,25.7,75.4,66.6,15.4,51.2,46.5,92,85,79,99
150,"Caballero, José",676609,498,548,1046,50.4,1.3,49.6,-12.3,-11.0,73.9,16.9,26.1,-4.2,12.7,1.7,2.3,-0.6,-1.4,62.7,61.7,26.1,35.6,24.3,5,37,1,18
151,"Pederson, Joc",592626,470,573,1043,47.4,-0.6,52.6,-14.3,-14.9,79.2,18.5,20.8,-4.2,14.3,-0.6,-1.0,0.4,0.9,64.9,67.1,20.8,46.3,26.7,65,87,28,28
152,"McNeil, Jeff",643446,549,491,1040,54.8,-4.7,45.2,-11.3,-16.0,86.8,14.3,13.2,-2.3,12.0,-4.0,-6.3,2.3,5.7,69.9,58.6,13.2,45.4,41.6,57,13,93,46
153,"Heim, Jonah",641680,556,486,1042,52.7,-0.3,47.3,-9.5,-9.8,82.9,15.1,17.1,-2.9,12.2,2.4,2.4,0.1,0.1,66.8,57.9,17.1,40.8,35.6,28,10,66,24
154,"O'Hoppe, Logan",681351,532,510,1042,50.8,3.0,49.2,-12.7,-9.7,81.2,16.1,18.8,-3.7,12.4,2.7,1.5,1.2,3.0,65.6,60.5,18.8,41.7,31.9,33,23,48,33
155,"Ortiz, Joey",687401,415,622,1037,54.5,-2.0,45.5,-7.9,-9.9,74.0,20.1,26.0,-5.9,14.2,4.3,1.4,2.8,6.9,66.2,67.1,26.0,41.0,28.4,30,87,2,53
156,"García Jr., Luis",671277,531,504,1035,41.2,-4.0,58.8,-19.3,-23.3,83.1,13.9,16.9,-3.6,10.3,-13.0,-11.0,-2.0,-5.0,61.6,65.7,16.9,48.8,24.4,81,77,68,9
157,"Thomas, Lane",657041,438,594,1032,48.9,-6.0,51.1,-11.8,-17.8,83.8,17.6,16.2,-4.9,12.6,-5.2,-10.4,5.2,12.8,69.0,69.9,16.2,53.8,32.7,98,98,74,83
158,"Perkins, Blake",663368,416,593,1009,56.7,1.0,43.3,-10.0,-9.0,77.2,17.6,22.8,-5.1,12.5,3.5,-0.6,4.1,10.3,68.8,66.0,22.8,43.2,34.0,43,80,14,73
159,"Moore, Dylan",664238,444,579,1023,65.5,1.5,34.5,-5.7,-4.2,77.9,18.7,22.1,-2.5,16.2,12.0,3.7,8.4,20.8,72.5,60.8,22.1,38.7,43.4,16,28,19,98
160,"Moreno, Gabriel",672515,433,589,1022,54.3,1.0,45.7,-12.9,-11.9,77.6,18.2,22.4,-4.4,13.8,1.9,-1.1,3.0,7.4,67.7,66.0,22.4,43.6,31.9,45,80,17,56
161,"Keith, Colt",690993,490,514,1004,46.1,-2.8,53.9,-12.1,-14.9,83.5,14.0,16.5,-2.9,11.0,-3.8,-2.5,-1.4,-3.5,65.2,65.5,16.5,49.0,29.6,83,76,71,12
162,"Martinez, J.D.",502110,487,527,1014,49.3,-2.3,50.7,-10.5,-12.8,86.0,16.9,14.0,-4.0,13.0,0.2,-2.1,2.4,6.0,68.3,65.4,14.0,51.3,35.2,93,75,90,49
163,"Kelenic, Jarred",672284,518,488,1006,48.8,-1.6,51.2,-12.3,-13.9,80.1,14.4,19.9,-3.9,10.6,-3.3,-2.1,-1.3,-3.2,64.0,60.7,19.9,40.8,29.0,28,26,34,13
164,"Lux, Gavin",666158,439,537,976,54.4,-2.9,45.6,-12.1,-14.9,85.1,15.3,14.9,-3.8,11.5,-3.4,-9.2,5.8,15.1,71.3,65.7,14.9,50.8,39.5,90,77,84,90
165,"Marte, Starling",516782,499,501,1000,54.3,-0.6,45.7,-9.6,-10.2,79.6,13.8,20.4,-3.4,10.4,0.2,-1.5,1.7,4.3,67.0,59.6,20.4,39.2,33.9,20,17,31,40
166,"Benintendi, Andrew",643217,486,512,998,55.8,1.6,44.2,-11.8,-10.2,82.6,14.6,17.4,-3.0,11.6,1.3,-1.3,2.6,6.6,69.5,61.0,17.4,43.6,38.4,45,30,61,51
