,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
110,"McNeil, Jeff",643446,1101,955,2056,59.9,12.3,40.1,-19.7,-7.5,83.2,32.3,16.8,-5.2,27.1,19.6,12.2,7.4,9.2,70.7,54.7,16.8,37.9,43.1,5,2,63,72
111,"Perdomo, Geraldo",672695,827,1210,2037,61.1,-3.6,38.9,-15.0,-18.7,76.9,36.8,23.1,-10.7,26.1,7.4,-1.6,9.0,11.2,70.4,64.8,23.1,41.7,37.9,24,62,6,81
112,"Hays, Austin",669720,1044,1006,2050,48.4,-1.9,51.6,-25.9,-27.8,79.5,30.0,20.5,-7.6,22.4,-5.5,-0.5,-5.0,-6.2,63.7,61.3,20.5,40.8,27.9,16,25,25,13
113,"Wong, Kolten",543939,872,1166,2038,60.3,-4.7,39.7,-17.9,-22.6,80.6,37.0,19.4,-8.7,28.4,5.8,-4.5,10.3,12.8,71.9,64.1,19.4,44.7,40.9,43,53,34,88
114,"Kemp, Tony",643393,990,1045,2035,48.9,-6.2,51.1,-21.7,-27.9,81.5,32.1,18.5,-8.4,23.7,-4.2,-7.4,3.1,3.9,65.7,63.8,18.5,45.3,30.4,48,50,44,52
115,"Giménez, Andrés",665926,1077,947,2024,45.9,-6.9,54.1,-27.1,-34.0,81.4,27.2,18.6,-6.4,20.8,-13.2,-8.1,-5.1,-6.4,62.5,60.9,18.6,42.4,27.3,28,23,42,13
116,"Rojas, Josh",668942,830,1199,2029,61.6,-6.1,38.4,-11.9,-18.0,81.3,38.3,18.7,-8.3,30.1,12.0,1.1,10.9,13.7,73.2,65.6,18.7,46.9,42.9,62,70,40,91
117,"Renfroe, Hunter",592669,968,1059,2027,50.8,-1.5,49.2,-21.2,-22.7,78.8,32.6,21.2,-8.6,24.0,1.3,3.2,-1.9,-2.3,65.4,62.9,21.2,41.6,29.6,23,42,21,26
118,"Ozuna, Marcell",542303,999,1024,2023,44.9,-5.2,55.1,-30.1,-35.2,83.2,30.3,16.8,-6.4,23.9,-11.3,-8.8,-2.5,-3.1,64.3,65.5,16.8,48.7,28.1,73,69,63,24
119,"Urshela, Gio",570482,1071,946,2017,46.1,-3.9,53.9,-27.9,-31.8,84.6,30.2,15.4,-6.3,23.9,-7.8,-6.3,-1.6,-2.0,64.2,61.8,15.4,46.4,30.7,57,30,75,28
