,NAME,ID,N_SWINGS,N_TAKES,N_P,G%S,GS_RV,B%S,BS_RV,SRV,G%T,GT_RV,B%T,BT_RV,TRV,TOT_RV,EXP_RV,SWTR,SWTR_Per650,EXP_RV+,SWTR+,SWTR_Per650+,Correct%,Selective,Agression,SEAGER,L_SEAGER,SEAGER_Percentile,Selective_Percentile,Agression_Percentile,SWTR_Percentile
108,"Riley, Austin",663586,596,592,1188,55.0,-1.4,45.0,-11.2,-12.6,86.1,19.8,13.9,-3.0,16.8,4.3,3.4,0.8,1.8,-1.5,5.8,12.3,70.5,60.9,13.9,47.0,41.2,77,24,93,87
109,"Candelario, Jeimer",600869,634,553,1187,50.3,-1.6,49.7,-14.1,-15.7,83.4,16.6,16.6,-3.2,13.4,-2.3,3.4,-5.7,-12.2,3.2,-5.4,-11.7,65.7,59.1,16.6,42.5,33.7,27,11,72,24
110,"Hoskins, Rhys",656555,493,682,1175,57.0,-1.6,43.0,-11.2,-12.8,78.3,20.2,21.7,-5.7,14.5,1.7,3.6,-1.9,-4.1,2.3,-0.5,-1.1,69.4,65.5,21.7,43.8,35.3,45,77,13,56
111,"Bellinger, Cody",641355,594,577,1171,50.2,-1.3,49.8,-13.4,-14.8,79.5,18.2,20.5,-4.6,13.5,-1.2,5.9,-7.1,-15.4,1.5,-2.7,-5.9,64.6,60.6,20.5,40.2,29.7,10,20,25,10
112,"Haniger, Mitch",571745,513,652,1165,56.5,-1.5,43.5,-10.3,-11.8,80.5,20.6,19.5,-4.9,15.7,3.9,4.0,-0.2,-0.4,-2.9,6.8,14.8,70.0,64.4,19.5,44.9,37.1,53,69,39,80
113,"Neto, Zach",687263,601,542,1143,46.6,-1.6,53.4,-14.5,-16.2,81.0,14.9,19.0,-3.8,11.1,-5.1,2.4,-7.5,-16.7,-3.1,-2.0,-4.5,62.9,61.1,19.0,42.1,27.6,23,27,45,7
114,"Benson, Will",666181,550,595,1145,56.2,-1.5,43.8,-10.2,-11.7,82.7,20.1,17.3,-5.2,14.9,3.2,3.8,-0.7,-1.4,-4.3,7.5,16.7,70.0,61.4,17.3,44.1,38.9,49,31,65,75
115,"Suzuki, Seiya",673548,456,689,1145,58.3,-1.5,41.7,-8.8,-10.3,80.0,19.4,20.0,-5.7,13.7,3.4,2.4,1.0,2.3,-7.1,10.6,23.4,71.4,67.4,20.0,47.4,38.3,82,93,33,89
116,"Toro, Abraham",647351,549,589,1138,49.9,-2.0,50.1,-12.8,-14.8,76.4,15.1,23.6,-4.9,10.2,-4.6,2.6,-7.1,-15.9,-1.0,-3.5,-7.9,63.6,62.2,23.6,38.6,26.3,4,40,5,9
117,"Meneses, Joey",608841,580,562,1142,47.4,-1.5,52.6,-13.1,-14.6,82.4,17.1,17.6,-3.8,13.3,-1.3,4.7,-6.0,-13.4,0.7,-2.0,-4.5,64.6,62.7,17.6,45.1,29.8,55,47,62,16
118,"Taveras, Leody",665750,546,588,1134,52.0,-1.0,48.0,-11.2,-12.2,82.8,19.8,17.2,-4.4,15.4,3.1,5.5,-2.4,-5.3,-2.0,5.1,11.5,68.0,63.2,17.2,46.0,34.8,70,54,66,47
119,"DeJong, Paul",657557,665,474,1139,53.5,-1.9,46.5,-13.6,-15.6,85.4,13.9,14.6,-2.2,11.6,-4.0,1.6,-5.6,-12.5,-7.1,3.1,7.0,66.8,53.2,14.6,38.7,39.0,5,2,90,22
120,"Frelick, Sal",686217,450,682,1132,59.8,-1.2,40.2,-8.1,-9.3,76.0,20.2,24.0,-7.2,13.0,3.8,4.0,-0.2,-0.5,2.2,1.6,3.6,69.5,65.8,24.0,41.8,35.7,21,81,3,78
121,"Joe, Connor",656582,489,640,1129,63.0,-1.2,37.0,-8.5,-9.7,80.5,19.0,19.5,-4.7,14.3,4.6,2.8,1.9,4.2,-0.5,5.2,11.7,72.9,62.6,19.5,43.0,43.5,33,46,39,94
122,"Rafaela, Ceddanne",678882,676,446,1122,49.4,-1.8,50.6,-15.2,-16.9,80.7,11.9,19.3,-3.3,8.6,-8.3,0.7,-9.0,-20.4,-4.4,-3.9,-8.9,61.9,51.9,19.3,32.6,30.1,1,1,43,2
123,"Tauchman, Mike",643565,537,589,1126,62.6,-1.5,37.4,-9.6,-11.1,84.9,20.9,15.1,-3.4,17.6,6.5,4.5,2.1,4.6,-6.8,13.3,30.0,74.2,59.8,15.1,44.7,47.5,51,13,85,96
124,"Cowser, Colton",681297,499,622,1121,60.1,-1.6,39.9,-9.5,-11.0,82.3,19.5,17.7,-4.8,14.6,3.6,4.5,-0.9,-2.0,-2.4,6.0,13.6,72.4,63.1,17.7,45.4,42.4,61,52,60,72
125,"Seager, Corey",608369,584,542,1126,54.8,-1.1,45.2,-10.8,-11.8,88.6,20.1,11.4,-2.9,17.2,5.4,6.4,-1.0,-2.2,-0.7,6.1,13.8,71.0,60.0,11.4,48.6,43.4,93,15,99,69
126,"Stanton, Giancarlo",519317,528,595,1123,44.3,-1.4,55.7,-13.7,-15.1,76.6,17.8,23.4,-6.2,11.6,-3.5,5.8,-9.3,-21.1,0.1,-3.6,-8.1,61.4,66.1,23.4,42.7,21.0,31,85,6,2
127,"Lowe, Nathaniel",663993,486,635,1121,54.5,-1.7,45.5,-10.3,-12.0,81.1,20.3,18.9,-5.1,15.2,3.3,4.2,-1.0,-2.2,3.2,0.1,0.3,69.6,66.0,18.9,47.1,35.6,79,84,46,69
128,"Pages, Andy",681624,588,526,1114,56.1,-1.3,43.9,-12.2,-13.5,82.3,16.3,17.7,-3.3,13.0,-0.4,2.7,-3.1,-7.1,-0.9,0.5,1.2,68.5,56.7,17.7,39.1,38.4,6,5,60,42
129,"O'Neill, Tyler",641933,467,638,1105,55.7,-1.6,44.3,-9.9,-11.4,80.6,20.0,19.4,-5.9,14.0,2.6,4.3,-1.7,-3.9,8.9,-6.3,-14.5,70.0,66.4,19.4,47.0,36.2,77,89,41,59
130,"Correa, Carlos",621043,487,614,1101,56.1,-1.3,43.9,-9.8,-11.1,80.1,20.4,19.9,-5.3,15.1,4.1,6.4,-2.3,-5.4,-1.4,5.5,12.6,69.5,64.3,19.9,44.4,36.2,50,68,34,46
131,"Melendez, MJ",669004,576,521,1097,54.0,-1.8,46.0,-11.8,-13.5,87.1,17.8,12.9,-3.1,14.8,1.2,3.0,-1.8,-4.1,-0.0,1.3,2.9,69.7,59.3,12.9,46.5,41.1,74,12,97,56
132,"Diaz, Yainer",673237,641,453,1094,45.9,-1.0,54.1,-15.3,-16.4,85.0,13.6,15.0,-2.4,11.2,-5.2,2.9,-8.1,-18.8,0.0,-5.2,-12.1,62.1,56.7,15.0,41.7,30.9,19,5,86,3
133,"Rizzo, Anthony",519203,544,547,1091,45.8,-1.1,54.2,-13.5,-14.6,79.2,16.1,20.8,-3.8,12.3,-2.3,4.2,-6.6,-15.3,-6.5,4.1,9.6,62.5,63.5,20.8,42.6,24.9,29,60,21,11
134,"Burleson, Alec",676475,611,472,1083,53.8,-1.4,46.2,-12.3,-13.7,84.7,14.4,15.3,-2.7,11.7,-2.0,2.9,-4.8,-11.3,0.3,-2.3,-5.3,67.3,54.9,15.3,39.6,38.6,8,2,83,27
135,"Adell, Jo",666176,552,534,1086,48.9,-1.7,51.1,-12.4,-14.1,86.5,17.1,13.5,-3.6,13.4,-0.7,4.5,-5.2,-12.2,-0.8,0.1,0.2,67.4,63.1,13.5,49.6,35.4,97,52,95,24
136,"Siri, Jose",642350,515,562,1077,49.3,-1.9,50.7,-11.5,-13.4,78.6,18.1,21.4,-4.9,13.2,-0.1,2.9,-3.0,-7.1,-5.1,4.9,11.7,64.6,63.5,21.4,42.2,28.0,24,60,15,42
137,"Bichette, Bo",666182,606,464,1070,47.4,-1.3,52.6,-13.9,-15.2,84.1,14.2,15.9,-3.0,11.2,-4.0,2.8,-6.8,-16.2,-4.8,0.8,1.9,63.3,57.6,15.9,41.7,31.4,19,7,78,8
138,"Rojas, Josh",668942,495,580,1075,61.0,-1.3,39.0,-9.0,-10.3,79.8,17.7,20.2,-5.1,12.6,2.3,3.5,-1.2,-2.8,-3.8,6.1,14.4,71.2,60.5,20.2,40.4,40.8,12,19,30,66
139,"Yelich, Christian",592885,496,580,1076,55.2,-1.3,44.8,-9.4,-10.7,83.8,19.9,16.2,-3.5,16.3,5.6,6.0,-0.4,-0.9,4.5,1.1,2.7,70.6,63.9,16.2,47.7,39.0,85,64,75,76
140,"Jeffers, Ryan",680777,498,576,1074,48.4,-1.8,51.6,-11.8,-13.6,80.6,17.2,19.4,-4.4,12.8,-0.8,4.1,-4.9,-11.7,-6.1,5.3,12.5,65.6,65.8,19.4,46.4,28.9,73,81,41,26
141,"Langford, Wyatt",694671,460,613,1073,54.6,-1.3,45.4,-9.8,-11.1,80.1,18.6,19.9,-5.3,13.3,2.2,4.4,-2.2,-5.2,0.1,2.1,5.0,69.2,66.2,19.9,46.3,34.7,72,87,34,48
142,"Estrada, Thairo",642731,538,530,1068,46.8,-1.3,53.2,-12.6,-13.9,75.8,13.1,24.2,-4.8,8.3,-5.6,1.8,-7.4,-17.7,-0.4,-5.2,-12.4,61.2,61.5,24.2,37.3,22.7,2,33,2,6
143,"Rodgers, Brendan",663898,527,539,1066,57.9,-1.7,42.1,-10.2,-11.9,83.9,16.6,16.1,-3.4,13.2,1.3,2.5,-1.2,-2.8,-8.1,9.4,22.4,71.0,59.7,16.1,43.6,41.7,42,13,76,66
144,"Kwan, Steven",680757,423,642,1065,59.1,-1.1,40.9,-8.1,-9.2,76.2,17.9,23.8,-5.5,12.4,3.2,3.5,-0.2,-0.5,-3.1,6.3,15.0,69.4,66.2,23.8,42.3,35.3,25,87,4,78
145,"Gelof, Zack",680869,532,524,1056,54.7,-1.3,45.3,-11.2,-12.6,83.2,16.3,16.8,-3.4,12.9,0.4,2.3,-1.9,-4.6,-0.1,0.4,1.0,68.8,60.0,16.8,43.2,37.9,36,15,69,51
146,"Pérez, Wenceel",672761,483,558,1041,49.7,-1.5,50.3,-11.5,-13.0,78.7,16.1,21.3,-4.7,11.4,-1.6,3.6,-5.3,-12.8,6.8,-8.4,-20.6,65.2,64.7,21.3,43.3,28.4,37,72,16,19
147,"Marsh, Brandon",669016,413,644,1057,54.2,-1.2,45.8,-8.8,-10.0,79.7,19.2,20.3,-5.7,13.5,3.4,4.6,-1.1,-2.7,-0.2,3.7,8.8,69.7,69.6,20.3,49.3,33.9,96,99,28,67
148,"Freeman, Tyler",671289,488,561,1049,54.5,-1.3,45.5,-10.0,-11.3,80.6,16.6,19.4,-4.0,12.6,1.3,3.5,-2.2,-5.4,-3.2,4.5,11.0,68.4,63.0,19.4,43.5,35.1,40,50,41,46
149,"Tucker, Kyle",663656,428,624,1052,63.6,-1.4,36.4,-6.6,-8.0,84.3,25.6,15.7,-3.6,21.9,13.9,8.2,5.7,13.8,1.4,12.5,30.3,75.9,65.9,15.7,50.2,47.8,98,83,81,99
150,"Caballero, José",676609,498,548,1046,47.2,-1.3,52.8,-13.3,-14.6,78.5,17.0,21.5,-4.3,12.7,-1.8,3.1,-4.9,-11.9,2.3,-4.2,-10.1,63.6,64.7,21.5,43.1,25.7,35,72,14,25
151,"Pederson, Joc",592626,470,573,1043,49.1,-1.7,50.9,-11.0,-12.7,79.2,18.8,20.8,-4.5,14.3,1.6,5.8,-4.2,-10.3,-1.0,2.6,6.3,65.7,66.3,20.8,45.5,28.4,64,88,21,29
152,"McNeil, Jeff",643446,549,491,1040,59.0,-1.4,41.0,-9.5,-10.9,83.9,14.7,16.1,-2.6,12.0,1.1,2.6,-1.5,-3.6,-6.3,7.5,18.2,70.8,56.0,16.1,39.9,42.9,8,4,76,63
153,"Heim, Jonah",641680,556,486,1042,53.1,-1.3,46.9,-11.3,-12.6,83.7,15.0,16.3,-2.8,12.2,-0.4,4.2,-4.6,-11.2,2.4,-2.8,-6.8,67.4,58.0,16.3,41.7,36.8,19,9,75,28
154,"O'Hoppe, Logan",681351,532,510,1042,49.6,-1.4,50.4,-12.1,-13.5,82.0,16.1,18.0,-3.7,12.4,-1.0,3.6,-4.6,-11.3,1.5,-2.5,-6.2,65.5,61.3,18.0,43.3,31.6,37,29,56,27
155,"Ortiz, Joey",687401,415,622,1037,54.5,-1.5,45.5,-8.5,-10.1,75.6,20.2,24.4,-6.0,14.2,4.1,4.9,-0.8,-1.9,1.4,2.7,6.5,67.1,67.5,24.4,43.1,30.0,35,94,1,73
156,"García Jr., Luis",671277,531,504,1035,48.0,-0.8,52.0,-11.6,-12.5,79.6,14.2,20.4,-4.0,10.3,-2.2,3.0,-5.1,-12.6,-11.0,8.8,21.6,63.4,61.1,20.4,40.7,27.6,13,27,26,21
157,"Thomas, Lane",657041,438,594,1032,60.0,-1.0,40.0,-8.3,-9.3,79.1,18.2,20.9,-5.6,12.6,3.4,3.2,0.1,0.3,-10.4,13.8,33.9,71.0,64.1,20.9,43.2,39.2,36,66,19,82
158,"Perkins, Blake",663368,416,593,1009,57.7,-1.3,42.3,-8.4,-9.6,77.7,17.6,22.3,-5.1,12.5,2.9,3.7,-0.9,-2.2,-0.6,3.5,8.8,69.5,65.8,22.3,43.5,35.4,40,81,8,69
159,"Moore, Dylan",664238,444,579,1023,63.1,-1.5,36.9,-7.6,-9.1,84.3,19.7,15.7,-3.5,16.2,7.1,3.8,3.3,8.2,3.7,3.5,8.7,75.1,63.5,15.7,47.8,47.3,86,60,81,99
160,"Moreno, Gabriel",672515,433,589,1022,53.6,-1.2,46.4,-10.2,-11.4,79.1,18.2,20.9,-4.5,13.8,2.4,4.1,-1.7,-4.2,-1.1,3.4,8.6,68.3,66.8,20.9,45.9,32.7,68,90,19,54
161,"Keith, Colt",690993,490,514,1004,50.6,-1.0,49.4,-11.2,-12.2,81.1,14.2,18.9,-3.2,11.0,-1.2,4.4,-5.7,-14.3,-2.5,1.2,3.1,66.2,62.7,18.9,43.8,31.7,45,47,46,14
162,"Martinez, J.D.",502110,487,527,1014,53.4,-1.3,46.6,-10.1,-11.3,85.0,17.1,15.0,-4.1,13.0,1.7,3.2,-1.5,-3.7,-2.1,3.8,9.6,69.8,63.3,15.0,48.3,38.4,91,57,86,61
163,"Kelenic, Jarred",672284,518,488,1006,48.1,-1.3,51.9,-11.6,-12.9,81.1,14.4,18.9,-3.9,10.6,-2.4,3.5,-5.8,-14.7,-2.1,-0.3,-0.7,64.1,61.4,18.9,42.5,29.2,27,31,46,13
164,"Lux, Gavin",666158,439,537,976,60.4,-1.0,39.6,-7.7,-8.7,81.6,15.8,18.4,-4.3,11.5,2.8,2.3,0.6,1.5,-9.2,12.0,31.4,72.0,62.3,18.4,43.9,41.9,47,41,51,85
165,"Marte, Starling",516782,499,501,1000,53.1,-1.3,46.9,-10.2,-11.5,79.8,13.9,20.2,-3.5,10.4,-1.1,1.4,-2.5,-6.5,-1.5,0.4,1.0,66.5,60.2,20.2,40.0,32.9,9,17,30,45
166,"Benintendi, Andrew",643217,486,512,998,58.0,-1.1,42.0,-9.5,-10.6,82.6,14.6,17.4,-3.1,11.6,0.9,2.8,-1.9,-4.8,-1.3,2.2,5.5,70.6,60.0,17.4,42.6,40.6,29,15,63,49
