"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
766,571912,"Maile, Luke",766,100,0.235,0.156,0.29,0.391,0.307,0.315,0.234,42,179,87,13.5,2273,89.5,89.78,88,342,424,0.29999999999999716,6.41,107,150,121,147,298,320,288,"5.7","-5.7"
765,624512,"McGuire, Reese",765,100,0.267,0.091,0.366,0.358,0.293,0.242,0.207,50,187,81.8,2.1,2296,88.5,88.48,93,407,358,0,6.38,114,146,111,151,278,318,300,"2.4","-2.4"
763,664874,"Zavala, Seby",763,100,0.171,0.143,0.23,0.314,0.239,0.246,0.188,30,175,86.4,14,2278,88.3,88.47,159,414,349,0.20000000000000284,6.48,108,152,120,146,301,323,290,"11.9","-11.9"
762,543685,"Rendon, Anthony",762,100,0.236,0.081,0.268,0.318,0.312,0.357,0.264,35,148,90.1,16.2,2259,89.6,89.9,54,302,460,0.30000000000001137,6.57,106,151,119,146,306,324,296,"1.2","-1.2"
761,681351,"O'Hoppe, Logan",761,100,0.236,0.264,0.24,0.5,0.337,0.346,0.257,43,182,90.5,19.6,2230,88.4,88.72,126,392,369,0.29999999999999716,6.55,106,151,120,146,302,324,294,"0.9","-0.9"
756,607680,"Pillar, Kevin",756,100,0.228,0.188,0.255,0.416,0.28,0.295,0.255,45,197,87.5,17.7,2227,88.1,88.37,112,426,329,0.30000000000001137,6.43,108,151,117,146,305,325,293,"2.2","-2.2"
751,622110,"Duffy, Matt",751,100,0.251,0.073,0.303,0.325,0.281,0.298,0.269,48,191,86.4,8.9,2229,88.6,88.88,83,361,390,0.30000000000001137,6.41,109,150,118,147,306,322,288,"8.1","-8.1"
748,621466,"Stewart, DJ",748,100,0.244,0.263,0.298,0.506,0.358,0.339,0.232,39,160,89.1,15.3,2195,89.1,89.15,136,380,368,0.10000000000000853,6.32,117,146,121,151,293,325,300,"-5","5"
741,649966,"Urías, Luis",741,100,0.194,0.104,0.25,0.299,0.298,0.297,0.182,28,144,84.9,14.7,2294,88.9,89.25,78,295,446,0.3999999999999915,6.49,108,152,119,147,290,319,290,"-2.5","2.5"
741,595978,"Hedges, Austin",741,100,0.184,0.043,0.236,0.227,0.209,0.253,0.215,34,185,83.1,11.7,2243,88.9,89.17,108,386,355,0.29999999999999716,6.43,107,150,118,146,301,319,289,"16.5","-16.5"
738,542208,"Pérez, Carlos",738,100,0.226,0.131,0.256,0.357,0.285,0.314,0.258,38,168,88.7,16,2253,88.9,89.03,73,340,398,0.09999999999999432,6.36,108,151,120,146,302,320,290,"5.1","-5.1"
734,624414,"Arroyo, Christian",734,100,0.241,0.128,0.295,0.369,0.274,0.273,0.236,47,195,86.1,10.5,2252,88.7,88.89,111,438,296,0.20000000000000284,6.49,109,150,120,147,292,323,293,"8","-8"
731,672779,"Marcano, Tucupita",731,100,0.233,0.124,0.265,0.356,0.275,0.292,0.248,47,202,85.8,11.5,2228,89,89.44,57,379,352,0.4000000000000057,6.48,114,146,102,150,291,318,298,"1.4","-1.4"
725,663368,"Perkins, Blake",725,100,0.217,0.133,0.29,0.35,0.303,0.279,0.194,31,143,83.8,11.6,2224,88.9,89.08,61,266,459,0.19999999999998863,6.39,109,146,109,149,293,319,292,"2.1","-2.1"
721,672724,"Peraza, Oswald",721,100,0.191,0.081,0.256,0.272,0.246,0.281,0.222,33,173,87.1,9.9,2248,89.3,89.47,118,357,364,0.20000000000000284,6.44,111,150,118,146,297,323,287,"8","-8"
